"Audience","Media","Frequency","cpp","k","g","v","inf_point","max_reach","mape"
"HM F 18-39","TV","Germany","1+ Reach",0.816680205410383,0.00323991313273443,0.61475321570594,0,0.809,0.0299674460943241
"HM F 18-39","OLV","Germany","1+ Reach",0.510013494960259,0.00203772269836198,0.722811559817808,0,0.43490701,0.0133004143989483
"HM F 18-39","YT","Germany","1+ Reach",30.466313554924,0.0085757037614422,0.707061450274985,0,20.74391989,0.00900396392420547
"HM F 18-39","FB","Germany","1+ Reach",NA,NA,NA,NA,NA,NA
"HM F 20-59","TV","Germany","1+ Reach",0.748179881183577,0.00295291431008462,0.55109248814538,0,0.7363,0.0215991945347664
"HM F 20-59","OLV","Germany","1+ Reach",0.320700661508957,0.00476477131979966,0.654017637022435,0,0.279169212,0.0106224198456298
"HM F 20-59","YT","Germany","1+ Reach",NA,NA,NA,NA,NA,NA
"HM F 20-59","FB","Germany","1+ Reach",27.945138955706,0.00970343099256069,0.726832700737093,0,17.95968235,0.0073691217131645
"HM F 25-49","TV","Germany","1+ Reach",0.736174432636394,0.00307590440010055,0.515139106401064,0,0.7283,0.0277874550297777
"HM F 25-49","OLV","Germany","1+ Reach",0.333713153017422,0.00480196376922563,0.723124087789314,0,0.317445186,0.0265040423722399
"HM F 25-49","YT","Germany","1+ Reach",30.711623924658,0.00899495752525509,0.729317183858873,0,20.01906578,0.0092948442997531
"HM F 25-49","FB","Germany","1+ Reach",NA,NA,NA,NA,NA,NA
