Audience,Media,cpp,aud_num,media_num
A 18-49,OLV - Tier 1,20,1,1
A 18-49,OLV - Tier 2,16.35,1,2
A 18-49,OLV - Tier 3,9,1,3
A 18-49,Tablet / Mobile,19.2,1,4
A 18-49,TV Non-Primetime,15.25,1,5
A 18-49,TV Primetime,19.5,1,6
A 25-54,OLV - Tier 1,30,2,1
A 25-54,OLV - Tier 2,35,2,2
A 25-54,OLV - Tier 3,35,2,3
A 25-54,Tablet / Mobile,28.6,2,4
A 25-54,TV Non-Primetime,14.6,2,5
A 25-54,TV Primetime,24,2,6
W 25-54,OLV - Tier 1,30,3,1
W 25-54,OLV - Tier 2,35,3,2
W 25-54,OLV - Tier 3,35,3,3
W 25-54,Tablet / Mobile,28.6,3,4
W 25-54,TV Non-Primetime,14.6,3,5
W 25-54,TV Primetime,24,3,6
