,25-44 F AB
,TV
,1
,13
0,0
10,0.0722678
20,0.116639854
30,0.152394326
40,0.182885421
50,0.209650931
60,0.233577148
70,0.255239543
80,0.275040586
90,0.293276477
100,0.310173498
110,0.325909507
120,0.340627496
130,0.354444545
140,0.367457985
150,0.379749773
160,0.391389677
170,0.40243766
180,0.412945685
190,0.422959117
200,0.432517819
210,0.441657028
220,0.450408055
230,0.45879886
240,0.466854517
250,0.474597607
260,0.482048536
270,0.489225815
280,0.496146283
290,0.502825306
300,0.509276945
310,0.5155141
320,0.521548635
330,0.527391483
340,0.533052745
350,0.53854177
360,0.543867226
370,0.549037168
380,0.55405909
390,0.55893998
400,0.563686361
410,0.56830433
420,0.572799599
430,0.577177521
440,0.581443121
450,0.585601124
460,0.589655975
470,0.593611863
480,0.597472738
490,0.601242329
500,0.604924161
510,0.608521569
520,0.61203771
530,0.615475576
540,0.618838007
550,0.622127696
560,0.625347206
570,0.62849897
580,0.631585306
590,0.63460842
600,0.637570416
610,0.640473299
620,0.643318983
630,0.646109295
640,0.648845982
650,0.651530714
660,0.654165089
670,0.656750635
680,0.659288817
690,0.661781039
700,0.664228646
710,0.66663293
720,0.66899513
730,0.671316436
740,0.67359799
750,0.675840893
760,0.6780462
770,0.680214929
780,0.682348058
790,0.68444653
800,0.686511251
810,0.688543097
820,0.690542911
830,0.692511507
840,0.694449669
850,0.696358154
860,0.698237695
870,0.700088997
880,0.701912743
890,0.703709592
900,0.705480182
910,0.707225131
920,0.708945035
930,0.710640471
940,0.712311999
950,0.713960161
960,0.715585481
970,0.717188467
980,0.718769611
990,0.720329392
1000,0.721868273
